Game,Year,Developer,Publisher,Film
The Lego Movie Videogame,2014,TT Fusion,Warner Bros. Interactive Entertainment,The Lego Movie
The Lego Movie 2 Videogame,2019,Traveller's Tales,Warner Bros. Interactive Entertainment,The Lego Movie 2
The Lego Ninjago Movie Video Game,2017,TT Fusion,Warner Bros. Interactive Entertainment,The Lego Ninjago Movie
Lego The Lord of the Rings,2013,Traveller's Tales,Warner Bros. Interactive Entertainment,The Lord of the Rings film trilogy
Lemony Snicket's A Series of Unfortunate Events,2004,Adrenium Games (console),Activision,Lemony Snicket's A Series of Unfortunate Events
Lethal Weapon,1992,Ocean Software,Ocean Software,Lethal Weapon
Lilo & Stitch: Trouble in Paradise,2002,Blitz Games,Sony Computer Entertainment (PS),Lilo & Stitch
The Lion King,1994,Westwood Studios,Virgin Interactive Entertainment[n],The Lion King
The Lion King 1½,2003,Vicarious Visions,Disney Interactive,The Lion King 1½
The Lion King: Simba's Mighty Adventure,2000,Paradox Development (PS1),Activision,The Lion King
The Little Mermaid,1991,Capcom,Capcom,The Little Mermaid
Little Nicky,2000,Digital Eclipse,Ubi Soft,Little Nicky
Live and Let Die,1988,Elite Systems International,Domark,Live and Let Die
The Living Daylights,1987,"Melbourne House, Sculptured Software",Domark,The Living Daylights
Back in Action,2003,Warthog Games,Electronic Arts,Looney Tunes: Back in Action
The Lord of the Rings: Aragorn's Quest,2010,Headstrong Games,Warner Bros. Interactive Entertainment,Lord of the Rings film trilogy
The Return of the King,2003,EA Redwood Shores,EA Games,The Lord of the Rings: The Return of the King
The Third Age,2004,Griptonite Games,Electronic Arts,Lord of the Rings film trilogy
The Lord of the Rings: The Third Age,2004,EA Redwood Shores,EA Games,Lord of the Rings film trilogy
The Two Towers,2002,Stormfront Studios,EA Games,The Lord of the Rings: The Fellowship of the Ring and The Lord of the Rings: The Two Towers
The Lord of the Rings: War in the North,2011,Snowblind Studios,Warner Bros. Interactive Entertainment,Lord of the Rings film trilogy
Jurassic Park,1997,Sega AM3,Sega,The Lost World: Jurassic Park
Mad Max,1990,Mindscape,Mindscape,Mad Max 2
Mad Max,2015,Avalanche Studios,Warner Bros. Interactive Entertainment,Mad Max franchise
Madagascar,2005,Toys for Bob[o],Activision,Madagascar
Madagascar Kartz,2009,Sidhe Interactive,Activision,Madagascar
Escape 2 Africa,2008,Toys for Bob,Activision,Madagascar: Escape 2 Africa
Madagascar: Operation Penguin,2005,Vicarious Visions,Activision,Madagascar
The Hands of Fate,2012,FreakZone,FreakZone,Manos: The Hands of Fate
The Mask,1995,Black Pearl Software[35],NA: Black Pearl Software[35],The Mask
